"E5_agua 1 - RawData"
"Wavelength nm."	"Abs."
190.000	 
191.000	 
192.000	 
193.000	 
194.000	 
195.000	 
196.000	 
197.000	 
198.000	 
199.000	 
200.000	3.863754
201.000	3.937958
202.000	3.596924
203.000	3.709198
204.000	3.573257
205.000	3.946274
206.000	3.970535
207.000	3.722260
208.000	3.923386
209.000	3.664856
210.000	3.993103
211.000	3.876755
212.000	3.857269
213.000	3.864426
214.000	3.906998
215.000	3.846405
216.000	3.840363
217.000	3.980194
218.000	3.819534
219.000	3.948349
220.000	3.941666
221.000	3.829834
222.000	3.941467
223.000	3.882355
224.000	3.977692
225.000	3.792374
226.000	3.765152
227.000	3.678543
228.000	3.447388
229.000	3.101624
230.000	3.008667
231.000	2.796310
232.000	2.707062
233.000	2.576096
234.000	2.509491
235.000	2.422791
236.000	2.333679
237.000	2.269897
238.000	2.213715
239.000	2.171051
240.000	2.117905
241.000	2.065887
242.000	2.007019
243.000	1.979340
244.000	1.941666
245.000	1.898865
246.000	1.875351
247.000	1.843781
248.000	1.823074
249.000	1.805267
250.000	1.777588
251.000	1.770004
252.000	1.757629
253.000	1.753769
254.000	1.752090
255.000	1.759048
256.000	1.771591
257.000	1.779083
258.000	1.789886
259.000	1.805923
260.000	1.826111
261.000	1.843460
262.000	1.854324
263.000	1.868591
264.000	1.883636
265.000	1.873566
266.000	1.898743
267.000	1.886810
268.000	1.893066
269.000	1.892151
270.000	1.887253
271.000	1.879395
272.000	1.851166
273.000	1.837006
274.000	1.827408
275.000	1.802231
276.000	1.776093
277.000	1.749283
278.000	1.716431
279.000	1.692093
280.000	1.659851
281.000	1.631577
282.000	1.598068
283.000	1.573853
284.000	1.533936
285.000	1.509811
286.000	1.474213
287.000	1.452682
288.000	1.434448
289.000	1.403610
290.000	1.380310
291.000	1.359787
292.000	1.334671
293.000	1.321533
294.000	1.297058
295.000	1.287903
296.000	1.275116
297.000	1.263107
298.000	1.257462
299.000	1.248810
300.000	1.242554
301.000	1.236862
302.000	1.236267
303.000	1.240677
304.000	1.240814
305.000	1.247528
306.000	1.250076
307.000	1.252563
308.000	1.264938
309.000	1.268906
310.000	1.275970
311.000	1.284454
312.000	1.293274
313.000	1.303101
314.000	1.298340
315.000	1.317154
316.000	1.321487
317.000	1.325775
318.000	1.330551
319.000	1.337204
320.000	1.333588
321.000	1.336823
322.000	1.333313
323.000	1.332764
324.000	1.331619
325.000	1.325500
326.000	1.322998
327.000	1.320038
328.000	1.315567
329.000	1.305466
330.000	1.294876
331.000	1.286255
332.000	1.280869
333.000	1.260574
334.000	1.243607
335.000	1.226028
336.000	1.208038
337.000	1.192184
338.000	1.169754
339.000	1.158112
340.000	1.135788
341.000	1.115738
342.000	1.082458
343.000	1.067520
344.000	1.045685
345.000	1.014618
346.000	0.996185
347.000	0.972366
348.000	0.945648
349.000	0.923813
350.000	0.895828
351.000	0.869644
352.000	0.847610
353.000	0.821060
354.000	0.796631
355.000	0.774338
356.000	0.747696
357.000	0.730042
358.000	0.703857
359.000	0.687103
360.000	0.667191
361.000	0.648651
362.000	0.629807
363.000	0.612228
364.000	0.593048
365.000	0.577087
366.000	0.562180
367.000	0.547272
368.000	0.533203
369.000	0.519043
370.000	0.507446
371.000	0.493835
372.000	0.482895
373.000	0.470306
374.000	0.459274
375.000	0.448807
376.000	0.439163
377.000	0.428726
378.000	0.419861
379.000	0.409988
380.000	0.401505
381.000	0.392532
382.000	0.384964
383.000	0.376541
384.000	0.369385
385.000	0.361710
386.000	0.353806
387.000	0.346909
388.000	0.340408
389.000	0.334122
390.000	0.326584
391.000	0.319855
392.000	0.313248
