"E5_agua2 - RawData"
"Wavelength nm."	"Abs."
190.000	 
191.000	 
192.000	 
193.000	 
194.000	 
195.000	 
196.000	 
197.000	 
198.000	 
199.000	 
200.000	3.939896
201.000	4.000000
202.000	3.637436
203.000	3.874115
204.000	3.870407
205.000	3.758774
206.000	3.919403
207.000	3.842545
208.000	3.740509
209.000	3.607651
210.000	4.000000
211.000	3.882767
212.000	3.741180
213.000	4.000000
214.000	3.966995
215.000	3.736740
216.000	3.952972
217.000	4.000000
218.000	3.927307
219.000	3.950455
220.000	3.914673
221.000	3.830582
222.000	3.915314
223.000	3.849228
224.000	4.000000
225.000	3.902328
226.000	3.871384
227.000	3.907761
228.000	3.774506
229.000	3.539795
230.000	3.312195
231.000	3.220306
232.000	3.083145
233.000	2.941605
234.000	2.874954
235.000	2.819305
236.000	2.689438
237.000	2.637955
238.000	2.583252
239.000	2.547287
240.000	2.476593
241.000	2.426117
242.000	2.351395
243.000	2.304596
244.000	2.272507
245.000	2.224457
246.000	2.193222
247.000	2.163651
248.000	2.129318
249.000	2.113586
250.000	2.080688
251.000	2.069931
252.000	2.068130
253.000	2.046753
254.000	2.050949
255.000	2.050568
256.000	2.067505
257.000	2.081528
258.000	2.107224
259.000	2.110123
260.000	2.127579
261.000	2.140915
262.000	2.179321
263.000	2.180588
264.000	2.211777
265.000	2.219894
266.000	2.232559
267.000	2.227036
268.000	2.242157
269.000	2.236572
270.000	2.220078
271.000	2.225174
272.000	2.208389
273.000	2.192032
274.000	2.139526
275.000	2.153473
276.000	2.095291
277.000	2.059189
278.000	2.032822
279.000	2.001312
280.000	1.969284
281.000	1.929749
282.000	1.885208
283.000	1.846664
284.000	1.806458
285.000	1.774017
286.000	1.736038
287.000	1.714783
288.000	1.680801
289.000	1.652725
290.000	1.627075
291.000	1.594147
292.000	1.569748
293.000	1.556015
294.000	1.533005
295.000	1.509094
296.000	1.497589
297.000	1.487579
298.000	1.472427
299.000	1.458008
300.000	1.455795
301.000	1.451248
302.000	1.449478
303.000	1.448059
304.000	1.460159
305.000	1.458511
306.000	1.470596
307.000	1.472672
308.000	1.486450
309.000	1.481232
310.000	1.492523
311.000	1.497971
312.000	1.514114
313.000	1.513840
314.000	1.536987
315.000	1.545731
316.000	1.547043
317.000	1.553436
318.000	1.556213
319.000	1.556274
320.000	1.566345
321.000	1.557770
322.000	1.557373
323.000	1.562714
324.000	1.560577
325.000	1.560608
326.000	1.554703
327.000	1.545181
328.000	1.544037
329.000	1.530716
330.000	1.510864
331.000	1.489456
332.000	1.482864
333.000	1.458130
334.000	1.453552
335.000	1.434845
336.000	1.402237
337.000	1.389648
338.000	1.366348
339.000	1.344620
340.000	1.342087
341.000	1.316589
342.000	1.288391
343.000	1.250854
344.000	1.222672
345.000	1.201584
346.000	1.177490
347.000	1.140549
348.000	1.109085
349.000	1.084106
350.000	1.049118
351.000	1.019623
352.000	0.989532
353.000	0.961655
354.000	0.932404
355.000	0.905289
356.000	0.876297
357.000	0.852127
358.000	0.820724
359.000	0.795563
360.000	0.775040
361.000	0.752762
362.000	0.733078
363.000	0.709290
364.000	0.687042
365.000	0.667694
366.000	0.651367
367.000	0.630661
368.000	0.615143
369.000	0.596634
370.000	0.582520
371.000	0.567291
372.000	0.554138
373.000	0.540817
374.000	0.527939
375.000	0.515106
376.000	0.502594
377.000	0.489929
378.000	0.478256
379.000	0.467636
380.000	0.457733
381.000	0.446732
382.000	0.438293
383.000	0.427841
384.000	0.419754
385.000	0.410797
386.000	0.402100
387.000	0.394272
388.000	0.385864
389.000	0.378281
390.000	0.370148
391.000	0.363098
392.000	0.355179
