"E5_bicarbonato - RawData"
"Wavelength nm."	"Abs."
190.000	 
191.000	 
192.000	 
193.000	 
194.000	 
195.000	 
196.000	 
197.000	 
198.000	 
199.000	 
200.000	3.919159
201.000	3.827698
202.000	3.813126
203.000	3.931824
204.000	3.610291
205.000	3.889603
206.000	3.758743
207.000	3.942734
208.000	3.711868
209.000	3.624100
210.000	3.747650
211.000	3.879639
212.000	3.925583
213.000	3.601395
214.000	3.983383
215.000	3.964859
216.000	3.884537
217.000	3.872940
218.000	3.875595
219.000	3.969666
220.000	3.915985
221.000	3.823318
222.000	3.903625
223.000	3.816650
224.000	3.905655
225.000	3.935516
226.000	3.878403
227.000	3.832077
228.000	3.893448
229.000	3.465424
230.000	3.389496
231.000	3.032272
232.000	2.860153
233.000	2.725311
234.000	2.624710
235.000	2.522202
236.000	2.384216
237.000	2.325897
238.000	2.244156
239.000	2.199142
240.000	2.158752
241.000	2.112289
242.000	2.079453
243.000	2.050858
244.000	2.025131
245.000	2.003571
246.000	1.985046
247.000	1.962662
248.000	1.945679
249.000	1.924744
250.000	1.917374
251.000	1.909332
252.000	1.891006
253.000	1.896912
254.000	1.896042
255.000	1.895477
256.000	1.905457
257.000	1.914658
258.000	1.924561
259.000	1.931168
260.000	1.937057
261.000	1.919037
262.000	1.935165
263.000	1.925171
264.000	1.914551
265.000	1.908585
266.000	1.902328
267.000	1.896942
268.000	1.873291
269.000	1.857651
270.000	1.827911
271.000	1.816742
272.000	1.774750
273.000	1.755554
274.000	1.721970
275.000	1.681763
276.000	1.656372
277.000	1.611221
278.000	1.579407
279.000	1.548874
280.000	1.503952
281.000	1.473511
282.000	1.438782
283.000	1.407959
284.000	1.380203
285.000	1.356155
286.000	1.333405
287.000	1.311676
288.000	1.297073
289.000	1.279572
290.000	1.271027
291.000	1.251602
292.000	1.237259
293.000	1.224030
294.000	1.220184
295.000	1.207397
296.000	1.207581
297.000	1.202255
298.000	1.202805
299.000	1.200256
300.000	1.197067
301.000	1.201691
302.000	1.204193
303.000	1.211197
304.000	1.214066
305.000	1.222260
306.000	1.227615
307.000	1.233521
308.000	1.245789
309.000	1.248474
310.000	1.257477
311.000	1.266815
312.000	1.270142
313.000	1.276703
314.000	1.281097
315.000	1.283585
316.000	1.287003
317.000	1.293854
318.000	1.294037
319.000	1.297485
320.000	1.299591
321.000	1.304169
322.000	1.298004
323.000	1.305222
324.000	1.308228
325.000	1.308853
326.000	1.311584
327.000	1.308731
328.000	1.309540
329.000	1.309692
330.000	1.310745
331.000	1.303436
332.000	1.305130
333.000	1.297028
334.000	1.298309
335.000	1.288452
336.000	1.278198
337.000	1.273804
338.000	1.264572
339.000	1.265213
340.000	1.269760
341.000	1.266769
342.000	1.253281
343.000	1.251083
344.000	1.241425
345.000	1.228256
346.000	1.216248
347.000	1.213272
348.000	1.193253
349.000	1.189499
350.000	1.183212
351.000	1.160141
352.000	1.158493
353.000	1.154327
354.000	1.139572
355.000	1.137375
356.000	1.129196
357.000	1.123596
358.000	1.112198
359.000	1.107315
360.000	1.096390
361.000	1.090408
362.000	1.081482
363.000	1.081100
364.000	1.077438
365.000	1.061478
366.000	1.059677
367.000	1.050842
368.000	1.045868
369.000	1.040253
370.000	1.036667
371.000	1.032745
372.000	1.028000
373.000	1.020142
374.000	1.017593
375.000	1.009201
376.000	1.008240
377.000	0.995819
378.000	0.992004
379.000	0.985077
380.000	0.979065
381.000	0.972855
382.000	0.963959
383.000	0.954132
384.000	0.947250
385.000	0.938599
386.000	0.926743
387.000	0.920227
388.000	0.909653
389.000	0.899307
390.000	0.888718
391.000	0.877991
392.000	0.866531
