"E5_vinagre 2 - RawData"
"Wavelength nm."	"Abs."
190.000	 
191.000	 
192.000	 
193.000	 
194.000	 
195.000	 
196.000	 
197.000	 
198.000	 
199.000	 
200.000	3.926300
201.000	3.922546
202.000	3.558533
203.000	3.398361
204.000	4.000000
205.000	3.886734
206.000	3.724487
207.000	3.693527
208.000	3.725677
209.000	3.773300
210.000	3.843185
211.000	3.941437
212.000	4.000000
213.000	3.774643
214.000	3.838913
215.000	3.806015
216.000	3.861938
217.000	3.914154
218.000	3.666122
219.000	3.975830
220.000	3.890732
221.000	3.835358
222.000	3.953583
223.000	3.931519
224.000	3.936493
225.000	3.924896
226.000	3.985352
227.000	4.000000
228.000	3.773544
229.000	3.963486
230.000	3.876083
231.000	3.905579
232.000	3.798767
233.000	3.872681
234.000	4.000000
235.000	3.852570
236.000	4.000000
237.000	3.933075
238.000	3.906708
239.000	3.960724
240.000	3.935486
241.000	3.766800
242.000	3.898758
243.000	3.867599
244.000	3.944260
245.000	3.883698
246.000	3.955811
247.000	3.962875
248.000	3.783661
249.000	3.974182
250.000	3.781189
251.000	3.920654
252.000	4.000000
253.000	3.838913
254.000	3.823990
255.000	3.642319
256.000	3.711945
257.000	3.644775
258.000	3.685226
259.000	3.638565
260.000	3.780579
261.000	3.838974
262.000	3.743744
263.000	3.953705
264.000	3.770889
265.000	3.940399
266.000	3.818008
267.000	3.867508
268.000	3.597641
269.000	3.883606
270.000	3.606445
271.000	3.674103
272.000	3.703491
273.000	3.896683
274.000	3.523041
275.000	3.660477
276.000	3.889404
277.000	3.766510
278.000	3.735153
279.000	3.846970
280.000	4.000000
281.000	3.974304
282.000	3.666733
283.000	3.538605
284.000	3.519882
285.000	3.542206
286.000	3.842285
287.000	3.924561
288.000	3.460983
289.000	3.663467
290.000	3.760513
291.000	3.741043
292.000	3.916382
293.000	3.098877
294.000	3.214935
295.000	3.483292
296.000	3.398499
297.000	3.265686
298.000	3.028305
299.000	3.131241
300.000	3.028793
301.000	3.078491
302.000	3.079788
303.000	2.821274
304.000	2.898010
305.000	2.863281
306.000	2.976501
307.000	2.968079
308.000	3.390533
309.000	3.199341
310.000	2.907806
311.000	3.414505
312.000	2.909729
313.000	2.701431
314.000	2.856491
315.000	2.728592
316.000	2.851654
317.000	2.787674
318.000	3.098801
319.000	2.700073
320.000	2.801041
321.000	2.611465
322.000	2.635742
323.000	2.699188
324.000	2.925308
325.000	2.743500
326.000	2.806931
327.000	2.520874
328.000	2.447586
329.000	2.445343
330.000	2.502274
331.000	2.372375
332.000	2.310486
333.000	2.265610
334.000	2.384003
335.000	2.255432
336.000	2.187576
337.000	2.119751
338.000	2.033066
339.000	2.129425
340.000	2.001007
341.000	1.949524
342.000	1.898254
343.000	1.885818
344.000	1.885742
345.000	1.839188
346.000	1.780457
347.000	1.725082
348.000	1.647705
349.000	1.588669
350.000	1.564896
351.000	1.509598
352.000	1.466125
353.000	1.394882
354.000	1.362122
355.000	1.320755
356.000	1.282959
357.000	1.220734
358.000	1.178741
359.000	1.141647
360.000	1.104935
361.000	1.070267
362.000	1.034500
363.000	1.000549
364.000	0.965256
365.000	0.933823
366.000	0.904526
367.000	0.876083
368.000	0.848389
369.000	0.816940
370.000	0.794510
371.000	0.775589
372.000	0.747894
373.000	0.725403
374.000	0.706039
375.000	0.684662
376.000	0.666626
377.000	0.648346
378.000	0.628830
379.000	0.612579
380.000	0.596558
381.000	0.582260
382.000	0.567551
383.000	0.553207
384.000	0.542053
385.000	0.529419
386.000	0.517929
387.000	0.507751
388.000	0.496521
389.000	0.486572
390.000	0.476410
391.000	0.466797
392.000	0.458084
